Datum:;2016-05-29 17:50:54
Firmware-Version;0x0150;0x2100;0x0000;0x0000
ESCON Studio Version:;2.2
Index:;0x3001;0x3003
Sub-Index: ;0x00;0x00
Max. Proben:;512
Aufgezeichnete Proben:;476
Abtastzeitraum:;27.489
Zeit;Ist-Motorstrom gemittelt;Ist-Drehzahl gemittelt
ms;A;min-1
11462.913;0.2842;6447.2
11490.402;0.2817;6447.9
11517.891;0.2840;6445.6
11545.380;0.2812;6445.6
11572.869;0.2759;6445.2
11600.358;0.2775;6446.3
11627.847;0.2831;6446.2
11655.336;0.2896;6448.4
11682.825;0.2859;6448.1
11710.314;0.2836;6449.6
11737.803;0.2841;6449.1
11765.292;0.2834;6449.3
11792.781;0.2752;6448.4
11820.270;0.2793;6447.9
11847.759;0.2800;6447.6
11875.248;0.2802;6447.6
11902.737;0.2827;6446.6
11930.226;0.2784;6447.9
11957.715;0.2813;6447.3
11985.204;0.2792;6448.3
12012.693;0.2789;6447.6
12040.182;0.2837;6448.4
12067.671;0.2818;6449.0
12095.160;0.2784;6447.5
12122.649;0.2794;6448.0
12150.138;0.2807;6447.4
12177.627;0.2797;6447.6
12205.116;0.2753;6447.8
12232.605;0.2892;6448.4
12260.094;0.2850;6450.4
12287.583;0.2794;6450.0
12315.072;0.2772;6449.0
12342.561;0.2810;6448.8
12370.050;0.2824;6448.9
12397.539;0.2812;6449.2
12425.028;0.2780;6448.1
12452.517;0.2822;6448.8
12480.006;0.2838;6449.5
12507.495;0.2819;6450.2
12534.984;0.2835;6450.6
12562.473;0.2809;6450.8
12589.962;0.2762;6449.5
12617.451;0.2773;6448.4
12644.940;0.2803;6449.1
12672.429;0.2785;6447.3
12699.918;0.2758;6449.7
12727.407;0.2810;6447.8
12754.896;0.2832;6449.1
12782.385;0.2833;6448.3
12809.874;0.2805;6449.5
12837.363;0.2800;6449.9
12864.852;0.2733;6450.3
12892.341;0.2749;6450.4
12919.830;0.2808;6450.2
12947.319;0.2814;6449.4
12974.808;0.2824;6448.9
13002.297;0.2831;6449.2
13029.786;0.2833;6448.7
13057.275;0.2803;6449.9
